Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Cable Bicep Curl,2020-09-05,16,29.991563171884504,0.0,0.0,1.0,479.86501075015207
Cable Bicep Curl,2020-02-13,10,64.98172020574975,0.0,0.0,1.0,649.8172020574975
Cable Bicep Curl,2020-03-06,10,84.97609565367277,0.0,0.0,1.0,849.7609565367277
Cable Bicep Curl,2020-03-06,8,84.97609565367277,0.0,0.0,1.0,679.8087652293822
Cable Bicep Curl,2020-03-06,10,69.9803140677305,0.0,0.0,1.0,699.803140677305
Cable Bicep Curl,2020-02-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Cable Bicep Curl,2020-02-13,12,64.98172020574975,0.0,0.0,1.0,779.780642468997
Cable Bicep Curl,2020-09-05,16,34.99015703386525,0.0,0.0,1.0,559.842512541844
Cable Bicep Curl,2020-03-06,10,69.9803140677305,0.0,0.0,1.0,699.803140677305
Cable Bicep Curl,2020-01-13,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-03-06,10,69.9803140677305,0.0,0.0,1.0,699.803140677305
Cable Bicep Curl,2020-01-13,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-03-06,10,84.97609565367277,0.0,0.0,1.0,849.7609565367277
Cable Bicep Curl,2020-01-13,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-01-13,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-03-04,10,79.977501791692,0.0,0.0,1.0,799.7750179169201
Cable Bicep Curl,2020-03-06,8,84.97609565367277,0.0,0.0,1.0,679.8087652293822
Cable Bicep Curl,2020-03-06,10,69.9803140677305,0.0,0.0,1.0,699.803140677305
Cable Bicep Curl,2020-02-08,10,64.98172020574975,0.0,0.0,1.0,649.8172020574975
Cable Bicep Curl,2020-02-08,10,64.98172020574975,0.0,0.0,1.0,649.8172020574975
Cable Bicep Curl,2020-02-08,10,64.98172020574975,0.0,0.0,1.0,649.8172020574975
Cable Bicep Curl,2020-10-12,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-01-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-10-12,7,49.985938619807506,0.0,0.0,1.0,349.90157033865256
Cable Bicep Curl,2020-01-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-01-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-10-12,10,47.48664168881713,0.0,0.0,1.0,474.86641688817133
Cable Bicep Curl,2020-01-13,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-10-12,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Cable Bicep Curl,2020-01-08,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Cable Bicep Curl,2020-01-13,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Cable Bicep Curl,2020-09-05,16,34.99015703386525,0.0,0.0,1.0,559.842512541844
Cable Bicep Curl,2020-03-04,10,79.977501791692,0.0,0.0,1.0,799.7750179169201
Cable Bicep Curl,2020-01-22,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Cable Bicep Curl,2020-02-18,10,69.9803140677305,0.0,0.0,1.0,699.803140677305
Cable Bicep Curl,2020-10-06,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Cable Bicep Curl,2020-10-06,12,34.99015703386525,0.0,0.0,1.0,419.88188440638305
Cable Bicep Curl,2020-10-06,12,34.99015703386525,0.0,0.0,1.0,419.88188440638305
Cable Bicep Curl,2019-09-17,8,42.488047826836386,0.0,0.0,1.0,339.9043826146911
Cable Bicep Curl,2019-09-17,10,34.99015703386525,0.0,0.0,1.0,349.9015703386525
Cable Bicep Curl,2020-03-09,8,74.97890792971126,0.0,0.0,1.0,599.83126343769
Cable Bicep Curl,2020-03-09,10,84.97609565367277,0.0,0.0,1.0,849.7609565367277
Cable Bicep Curl,2019-12-05,8,29.991563171884504,0.0,0.0,1.0,239.93250537507603
Cable Bicep Curl,2020-03-09,10,74.97890792971126,0.0,0.0,1.0,749.7890792971125
